ID, 2496059217
TEAM_TAG_RADIANT, 
TEAM_TAG_DIRE, 
WINNER, dire
PLAYER,0,SNDRY,76561198066074640,npc_dota_hero_life_stealer,2
PLAYER,1,Keanu Reeves,76561198044048556,npc_dota_hero_sand_king,2
PLAYER,2,Donna Roberta Paulsen,76561198097920402,npc_dota_hero_keeper_of_the_light,2
PLAYER,3,Road2"7k"|Ayestroling™,76561198097061091,npc_dota_hero_faceless_void,2
PLAYER,4,wra†h,76561198000411475,npc_dota_hero_tinker,2
PLAYER,5,Zaneox,76561198058657979,npc_dota_hero_slark,3
PLAYER,6,野猪君の饲养员爱咩咩,76561198084565462,npc_dota_hero_legion_commander,3
PLAYER,7,OwnToasT,76561198047082179,npc_dota_hero_storm_spirit,3
PLAYER,8,illusion,76561198012629464,npc_dota_hero_skywrath_mage,3
PLAYER,9,[K]RedLight,76561198078076238,npc_dota_hero_axe,3
